timestamp,machine_id,temperature,pressure,vibration,flow_rate,humidity,failure
2026-01-01 00:00:00,PUMP_1,82,205,0.28,118,44,0
2026-01-01 01:00:00,PUMP_1,85,210,0.32,120,45,0
2026-01-01 02:00:00,PUMP_1,90,220,0.40,115,47,0
2026-01-01 03:00:00,PUMP_1,96,245,0.62,108,50,1
2026-01-01 04:00:00,COMP_1,78,190,0.25,130,42,0
2026-01-01 05:00:00,COMP_1,80,195,0.27,128,43,0
2026-01-01 06:00:00,COMP_1,88,210,0.35,125,45,0
2026-01-01 07:00:00,COMP_1,95,235,0.55,115,48,1
2026-01-01 08:00:00,VALVE_1,70,180,0.20,135,40,0
2026-01-01 09:00:00,VALVE_1,72,185,0.22,133,41,0
2026-01-01 10:00:00,VALVE_1,75,190,0.25,130,42,0
2026-01-01 11:00:00,VALVE_1,92,230,0.58,112,49,1
2026-01-01 12:00:00,PUMP_2,84,208,0.30,119,45,0
2026-01-01 13:00:00,PUMP_2,87,215,0.33,117,46,0
2026-01-01 14:00:00,PUMP_2,93,225,0.48,112,48,0
2026-01-01 15:00:00,PUMP_2,97,250,0.65,105,52,1
2026-01-01 16:00:00,COMP_2,79,192,0.26,129,43,0
2026-01-01 17:00:00,COMP_2,83,200,0.29,126,44,0
2026-01-01 18:00:00,COMP_2,91,220,0.45,118,47,0
2026-01-01 19:00:00,COMP_2,98,245,0.60,110,50,1
2026-01-01 20:00:00,VALVE_2,71,182,0.21,134,41,0
2026-01-01 21:00:00,VALVE_2,74,188,0.24,132,42,0
2026-01-01 22:00:00,VALVE_2,89,210,0.42,120,46,0
2026-01-01 23:00:00,VALVE_2,94,235,0.57,115,49,1
